Beach,Date,ProfileID,Distance,Elevation,Method
Yarra_Bay,12/05/2017,P4,0,3.571,RTK
Yarra_Bay,12/05/2017,P4,1,3.381851246,RTK
Yarra_Bay,12/05/2017,P4,2,3.18120501,RTK
Yarra_Bay,12/05/2017,P4,3,3.011942697,RTK
Yarra_Bay,12/05/2017,P4,4,2.846014962,RTK
Yarra_Bay,12/05/2017,P4,5,2.845836754,RTK
Yarra_Bay,12/05/2017,P4,6,2.805098497,RTK
Yarra_Bay,12/05/2017,P4,7,2.693371018,RTK
Yarra_Bay,12/05/2017,P4,8,2.608375586,RTK
Yarra_Bay,12/05/2017,P4,9,2.527079604,RTK
Yarra_Bay,12/05/2017,P4,10,2.451265186,RTK
Yarra_Bay,12/05/2017,P4,11,2.366159584,RTK
Yarra_Bay,12/05/2017,P4,12,2.283807081,RTK
Yarra_Bay,12/05/2017,P4,13,2.202279236,RTK
Yarra_Bay,12/05/2017,P4,14,2.081468643,RTK
Yarra_Bay,12/05/2017,P4,15,2.058380001,RTK
Yarra_Bay,12/05/2017,P4,16,2.050207807,RTK
Yarra_Bay,12/05/2017,P4,17,1.976951633,RTK
Yarra_Bay,12/05/2017,P4,18,1.901394467,RTK
Yarra_Bay,12/05/2017,P4,19,1.827483492,RTK
Yarra_Bay,12/05/2017,P4,20,1.747611144,RTK
Yarra_Bay,12/05/2017,P4,21,1.670344039,RTK
Yarra_Bay,12/05/2017,P4,22,1.584550632,RTK
Yarra_Bay,12/05/2017,P4,23,1.529192193,RTK
Yarra_Bay,12/05/2017,P4,24,1.532555441,RTK
Yarra_Bay,12/05/2017,P4,25,1.497195937,RTK
Yarra_Bay,12/05/2017,P4,26,1.413922104,RTK
Yarra_Bay,12/05/2017,P4,27,1.368836038,RTK
Yarra_Bay,12/05/2017,P4,28,1.359338303,RTK
Yarra_Bay,12/05/2017,P4,29,1.267526731,RTK
Yarra_Bay,12/05/2017,P4,30,1.194445474,RTK
Yarra_Bay,12/05/2017,P4,31,1.141826858,RTK
Yarra_Bay,12/05/2017,P4,32,1.023067867,RTK
Yarra_Bay,12/05/2017,P4,33,0.911542924,RTK
Yarra_Bay,12/05/2017,P4,34,0.831858153,RTK
Yarra_Bay,12/05/2017,P4,35,0.745591158,RTK
Yarra_Bay,12/05/2017,P4,36,0.626886906,RTK
Yarra_Bay,12/05/2017,P4,37,0.537781671,RTK
Yarra_Bay,12/05/2017,P4,38,0.40381061,RTK
Yarra_Bay,12/05/2017,P4,39,0.249722394,RTK
Yarra_Bay,12/05/2017,P4,40,0.131162379,RTK
Yarra_Bay,12/05/2017,P4,41,0.012111533,RTK
Yarra_Bay,12/05/2017,P4,42,-0.107435399,RTK
Yarra_Bay,12/05/2017,P4,43,-0.227873136,RTK
Yarra_Bay,12/05/2017,P4,44,-0.35833177,RTK
Yarra_Bay,12/05/2017,P4,45,-0.518283142,RTK
Yarra_Bay,12/05/2017,P4,46,-0.7195391,RTK
Yarra_Bay,26/03/2021,P3,0,5.102,
Yarra_Bay,26/03/2021,P3,1,4.684,
Yarra_Bay,26/03/2021,P3,2,4.23,
Yarra_Bay,26/03/2021,P3,3,4.059,
Yarra_Bay,26/03/2021,P3,4,3.825,
Yarra_Bay,26/03/2021,P3,5,3.58,
Yarra_Bay,26/03/2021,P3,6,3.496,
Yarra_Bay,26/03/2021,P3,7,3.267,
Yarra_Bay,26/03/2021,P3,8,3.107,
Yarra_Bay,26/03/2021,P3,9,3.082,
Yarra_Bay,26/03/2021,P3,10,2.938,
Yarra_Bay,26/03/2021,P3,11,2.802,
Yarra_Bay,26/03/2021,P3,12,2.678,
Yarra_Bay,26/03/2021,P3,13,2.509,
Yarra_Bay,26/03/2021,P3,14,2.279,
Yarra_Bay,26/03/2021,P3,15,2.076,
Yarra_Bay,26/03/2021,P3,16,1.937,
Yarra_Bay,26/03/2021,P3,17,1.868,
Yarra_Bay,26/03/2021,P3,18,1.755,
Yarra_Bay,26/03/2021,P3,19,1.588,
Yarra_Bay,26/03/2021,P3,20,1.52,
Yarra_Bay,26/03/2021,P3,21,1.433,
Yarra_Bay,26/03/2021,P3,22,1.404,
Yarra_Bay,26/03/2021,P3,23,1.354,
Yarra_Bay,26/03/2021,P3,24,1.348,
Yarra_Bay,26/03/2021,P3,25,1.245,
Yarra_Bay,26/03/2021,P3,26,1.187,
Yarra_Bay,26/03/2021,P3,27,1.16,
Yarra_Bay,26/03/2021,P3,28,1.111,
Yarra_Bay,26/03/2021,P3,29,1.067,
Yarra_Bay,26/03/2021,P3,30,1.011,
Yarra_Bay,26/03/2021,P3,31,0.988,
Yarra_Bay,26/03/2021,P3,32,0.982,
Yarra_Bay,26/03/2021,P3,33,0.928,
Yarra_Bay,26/03/2021,P3,34,0.843,
Yarra_Bay,26/03/2021,P3,35,0.812,
Yarra_Bay,26/03/2021,P3,36,0.718,
Yarra_Bay,26/03/2021,P3,37,0.647,
Yarra_Bay,26/03/2021,P3,38,0.574,
Yarra_Bay,26/03/2021,P3,39,0.461,
Yarra_Bay,26/03/2021,P3,40,0.408,
Yarra_Bay,26/03/2021,P3,41,0.282,
Yarra_Bay,26/03/2021,P3,42,0.204,
Yarra_Bay,26/03/2021,P3,43,0.123,
Yarra_Bay,26/03/2021,P3,44,-0.035,
Yarra_Bay,26/03/2021,P3,45,-0.186,
Yarra_Bay,26/03/2021,P3,46,-0.361,
Yarra_Bay,26/03/2021,P3,47,-0.582,
Yarra_Bay,26/03/2021,P3,48,-0.74,
Yarra_Bay,26/03/2021,P3,49,-0.842,
